Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Sex_nan,Embarked_C,Embarked_Q,Embarked_S,Embarked_nan,Cabin_No,Cabin_Yes,Cabin_nan
0.841594769185855,-0.585156118397248,0.4811038987780187,-0.4448294924492011,-0.503402465774324,0,1,0,0,0,1,0,1,0,0
-1.5455071871831254,0.6044149461994748,0.4811038987780187,-0.4448294924492011,0.7342219512489483,1,0,0,1,0,0,0,0,1,0
0.841594769185855,-0.2877633522480673,-0.47890372850921675,-0.4448294924492011,-0.4903561838945722,1,0,0,0,0,1,0,1,0,0
-1.5455071871831254,0.38137037158758924,0.4811038987780187,-0.4448294924492011,0.3827783107984442,1,0,0,0,0,1,0,0,1,0
0.841594769185855,0.38137037158758924,-0.47890372850921675,-0.4448294924492011,-0.48794020576869224,0,1,0,0,0,1,0,1,0,0
0.841594769185855,-0.46049542711433844,-0.47890372850921675,-0.4448294924492011,-0.480048654818318,0,1,0,0,1,0,0,1,0,0
-1.5455071871831254,1.7939860107961974,-0.47890372850921675,-0.4448294924492011,0.35886012735223255,0,1,0,0,0,1,0,0,1,0
0.841594769185855,-2.0721199491431515,2.4011191533524894,0.7104915504396963,-0.2361952850520008,0,1,0,0,0,1,0,1,0,0
0.841594769185855,-0.21341516071077213,-0.47890372850921675,1.8658125933285936,-0.42834672292448694,1,0,0,0,0,1,0,1,0,0
-0.35195620899863517,-1.1799416506956093,0.4811038987780187,-0.4448294924492011,-0.06232603685367349,1,0,0,1,0,0,0,1,0,0
0.841594769185855,-1.923423566068561,0.4811038987780187,0.7104915504396963,-0.32075451945779926,1,0,0,0,0,1,0,0,1,0
-1.5455071871831254,2.091378776945378,-0.47890372850921675,-0.4448294924492011,-0.13037544313845867,1,0,0,0,0,1,0,0,1,0
0.841594769185855,-0.7338525014718383,-0.47890372850921675,-0.4448294924492011,-0.48794020576869224,0,1,0,0,0,1,0,1,0,0
0.841594769185855,0.6787631377367699,0.4811038987780187,5.331775721995286,-0.03905146998019633,0,1,0,0,0,1,0,1,0,0
0.841594769185855,-1.1799416506956093,-0.47890372850921675,-0.4448294924492011,-0.4917245939050707,1,0,0,0,0,1,0,1,0,0
-0.35195620899863517,1.8683342023334926,-0.47890372850921675,-0.4448294924492011,-0.33428399696272704,1,0,0,0,0,1,0,1,0,0
0.841594769185855,-2.0721199491431515,3.361126780639725,0.7104915504396963,-0.08060629374533156,0,1,0,0,1,0,0,1,0,0
